timestamp,service,level,message,is_threat
2025-12-06T22:00:10.681865,frontend-ui,WARNING,Suspicious activity detected from IP 132.126.10.52,0
2025-12-06T22:00:10.994735,database-worker,WARNING,Suspicious activity detected from IP 206.32.160.221,1
2025-12-06T22:00:11.288249,auth-service,ERROR,Suspicious activity detected from IP 162.151.183.46,0
2025-12-06T22:00:11.575731,database-worker,INFO,Database sync finished,0
2025-12-06T22:00:13.283386,frontend-ui,ERROR,Suspicious activity detected from IP 224.198.152.6,0
2025-12-06T22:00:14.252788,auth-service,WARNING,Suspicious activity detected from IP 233.90.67.27,0
2025-12-06T22:00:14.564158,auth-service,WARNING,Suspicious activity detected from IP 114.180.221.192,0
2025-12-06T22:00:14.864408,payment-api,WARNING,Suspicious activity detected from IP 222.36.232.231,0
2025-12-06T22:00:15.167446,database-worker,WARNING,Suspicious activity detected from IP 219.1.32.57,1
2025-12-06T22:00:15.454124,payment-api,ERROR,Suspicious activity detected from IP 209.68.23.214,0
2025-12-06T22:00:15.753152,auth-service,WARNING,Suspicious activity detected from IP 124.149.33.120,0
2025-12-06T22:00:16.056916,frontend-ui,ERROR,Suspicious activity detected from IP 124.153.95.63,0
2025-12-06T22:00:16.345580,database-worker,WARNING,Suspicious activity detected from IP 102.4.53.34,1
2025-12-06T22:00:16.646157,database-worker,WARNING,Suspicious activity detected from IP 151.222.183.173,1
2025-12-06T22:00:16.934692,database-worker,ERROR,Suspicious activity detected from IP 244.247.179.253,1
2025-12-06T22:00:17.246695,database-worker,WARNING,Suspicious activity detected from IP 136.140.202.56,1
2025-12-06T22:00:17.567139,auth-service,ERROR,Suspicious activity detected from IP 203.23.70.14,0
2025-12-06T22:00:17.845547,database-worker,ERROR,Suspicious activity detected from IP 135.122.225.194,1
2025-12-06T22:00:20.458735,database-worker,WARNING,Suspicious activity detected from IP 137.198.94.78,1
2025-12-06T22:00:20.763279,payment-api,WARNING,Suspicious activity detected from IP 241.244.168.180,0
2025-12-06T22:00:21.065352,database-worker,ERROR,Suspicious activity detected from IP 209.150.68.77,1
2025-12-06T22:00:23.591482,payment-api,WARNING,Suspicious activity detected from IP 229.182.134.22,0
2025-12-06T22:00:23.929694,database-worker,WARNING,Suspicious activity detected from IP 194.74.165.56,1
2025-12-06T22:00:24.285982,auth-service,ERROR,Suspicious activity detected from IP 137.121.148.180,0
2025-12-06T22:00:26.806497,payment-api,INFO,Database sync finished,0
2025-12-06T22:00:28.668781,frontend-ui,INFO,User logout success,0
2025-12-06T22:00:33.476974,payment-api,INFO,User action processed successfully,0
2025-12-06T22:00:38.935475,database-worker,INFO,Payment verified,0
2025-12-06T22:00:43.018634,database-worker,INFO,Page load complete,0
2025-12-06T22:00:47.882139,payment-api,INFO,User action processed successfully,0
2025-12-06T22:00:52.521772,auth-service,INFO,User logout success,0
